Consommation,Coût,Date,Achat
Cash Spent,20,44394,Divertissements
CB Carrefour,7.02,44394,Courses
CB Boulangerie,1.8,44394,Courses
CB Leclerc,3.46,44394,Courses
CB Resto Univ,2,44393,Resto_FastFood
CB LIDL,30.4,44393,Courses
CB Uber Eats,15.95,44372,Resto_FastFood
CB Izly,20,44357,Resto_FastFood
CB Boulangerie,12,44355,Exceptions_&_Services
CB Kebab,7,44355,Resto_FastFood
CB Boulangerie,1.85,44353,Courses
CB LIDL,28.87,44298,Courses
CB Western Union,32.9,44298,Exceptions_&_Services
CB Western Union,26.9,44298,Exceptions_&_Services
CB Libon,4.99,44297,Télécoms
CB Leclerc,4.99,44296,Courses
CB Carrefour,15.06,44294,Courses
CB Carrefour,7.47,44294,Courses
CB Leclerc,9.59,44293,Courses
CB Uber Eats,11.98,44291,Resto_FastFood
CB LIDL,19.61,44290,Courses
CB Carrefour,3.51,44290,Courses
CB Mac Donald,5.65,44288,Resto_FastFood
CB Mac Donald,4.95,44287,Resto_FastFood
CB Carrefour,8.84,44279,Courses
CB Boulangerie,10.13,44275,Courses
CB Carrefour,4.22,44275,Courses
CB Boulangerie,2.1,44275,Courses
CB LIDL,24.9,44273,Courses
CB Prélèvement Free,9.99,44272,Télécoms
CB Western Union,32.9,44272,Exceptions_&_Services
CB Libon,4.99,44272,Télécoms
CB Services,10,44270,Exceptions_&_Services
CB Citibike Caen ,4.9,44268,Réparations
CB Izly,20,44267,Resto_FastFood
CB LIDL,12.03,44267,Courses
CB Carrefour,8.32,44267,Courses
CB Boulangerie,1.1,44263,Courses
CB LIDL,20.19,44262,Courses
CB Carrefour,0.12,44262,Courses
CB Leclerc ,5.47,44261,Courses
CB Carrefour,6.93,44260,Courses
CB Ticket Resto,7,44260,Courses
CB Services,40,44259,Exceptions_&_Services
CB Carrefour,9.67,44255,Courses
CB LIDL,9.33,44255,Courses
CB Shopping Vêtements,12.99,44255,Shopping
CB Izly,20,44251,Resto_FastFood
CB Carrefour,1.2,44250,Courses
CB Ticket Resto,7,44250,Courses
CB LIDL,17.84,44248,Courses
CB Ticket Resto,7,44247,Courses
CB Carrefour,3.5,44247,Courses
CB Citibike Caen ,14.9,44244,Réparations
CB Carrefour,7.87,44242,Courses
CB Ticket Resto,7,44242,Courses
CB Services,30,44240,Exceptions_&_Services
CB Izly,20,44239,Resto_FastFood
CB Carrefour,15.16,44239,Courses
CB Carrefour,5.45,44239,Courses
CB Carrefour,16.23,44238,Courses
CB Leclerc ,5.73,44235,Courses
CB Izly,10,44232,Resto_FastFood
CB Carrefour,8.73,44231,Courses
CB LIDL,15.14,44231,Courses
CB Pharmacie ,4.1,44231,Courses
CB Shopping Vêtements,9,44227,Shopping
CB LIDL,4.06,44227,Courses
CB Services,50,44227,Exceptions_&_Services
CB Libon,4.99,44227,Télécoms
CB Carrefour,13.75,44225,Courses
CB Amazon,20.89,44225,Electroménager
CB Yves Rocher,6.4,44224,Shopping
CB Armand Thierry,82.97,44224,Shopping
CB Carrefour,23.34,44224,Courses
CB Darty,5.99,44224,Courses
CB H&M,29.99,44224,Shopping
CB Mango,39.99,44224,Shopping
CB Twisto,4,44224,Transports
CB Carrefour,1.2,44224,Courses
CB Paiement Cité U,359.85,44223,Charges Mensuelles
Cotisation Mensuelle,2,44222,Charges Mensuelles
Cotisation Mensuelle,0.08,44222,Charges Mensuelles
Total option system,8,44221,Charges Mensuelles
CB LIDL,9.88,44219,Courses
CB LIDL,21.04,44217,Courses
CB Izly,20,44215,Resto_FastFood
CB LIDL,15.31,44213,Courses
CB Boucherie,11.29,44213,Courses
Frais tenue de Compte,5,44196,Charges Mensuelles
CB LIDL,43.22,44194,Courses
CB Carrefour,6.19,44088,Courses
CB Go Sport,23.99,44084,Divertissements
CB Electro_Dépôt,23.95,44081,Electroménager
CB Action,18.84,44081,Electroménager
CB Leclerc,17.62,44075,Courses
CB Action,47.74,44074,Electroménager
CB libon,4.99,44045,Télécoms
CB Sodivhal,17,44043,Resto_FastFood
CB Picard,11.74,44042,Courses
CB Franprix,7.62,44042,Courses
Total option system,13.11,44042,Télécoms
CB Picard,7.95,44042,Courses
CB Picard,6.61,44039,Courses
CB Franprix,1.45,44039,Courses
Cotisation Mensuelle,2,44039,Charges Mensuelles
CB Picard,13.63,44037,Courses
CB Franprix,3.25,44037,Courses
CB Picard,12.55,44036,Courses
CB Ratp,1.9,44036,Transports
CB We Cantine,19.5,44035,Resto_FastFood
CB Ratp,1.9,44035,Transports
CB Ratp,2.8,44035,Transports
CB Yves Rocher,12.95,44035,Shopping
CB Ratp,1.9,44035,Transports
CB Glace_Bashi,14.6,44035,Resto_FastFood
CB Ratp,1.9,44035,Transports
CB Ratp,2.8,44035,Transports
CB Franprix,1.45,44034,Courses
CB Shopping C&A,18.8,44034,Shopping
CB Shopping C&A,3.9,44034,Shopping
CB Franprix,5.95,44034,Courses
CB Picard,2.94,44034,Courses
CB Picard,20,44034,Courses
CB Ratp,1.95,44034,Transports
CB Paul,7.8,44034,Shopping
CB Picard,19.38,44034,Courses
CB Ratp,2.8,44034,Transports
CB Ratp,1.95,44034,Transports
CB Shopping C&A,15.8,44034,Shopping
CB Picard,2.3,44031,Courses
CB Yep Liban,5.5,44031,Resto_FastFood
CB Picard,10.26,44030,Courses
CB Franprix,2.84,44030,Courses
CB Franprix,1.6,44030,Courses
CB Ratp,1.95,44029,Transports
CB Prélèvement Free,9.99,44029,Télécoms
CB Ratp,1.95,44029,Transports
CB Ratp,1.95,44029,Transports
CB Franprix,6.9,44028,Courses
CB Picard,11.3,44028,Courses
CB Franprix,3.99,44028,Courses
CB Franprix,3.99,44028,Courses
CB Franprix,4.65,44027,Courses
CB UCG Cinéma,6.5,44027,Divertissements
CB Picard,21.41,44027,Courses
CB Franprix,1.6,44027,Courses
CB UCG Cinéma,15.6,44027,Divertissements
CB Franprix,1.6,44026,Courses
CB La Rotonde,6,44026,Resto_FastFood
CB Ratp,2.8,44025,Transports
CB Sncf,5.6,44025,Transports
CB Carrefour,23.14,44025,Courses
CB Ratp,2.8,44025,Transports
CB U ,2.51,44025,Transports
CB Yep Liban,5.5,44024,Resto_FastFood
CB Franprix,4.1,44023,Courses
CB Western Union,51.9,44023,Exceptions_&_Services
CB Picard,5.44,44023,Courses
CB Picard,9.85,44023,Courses
CB Franprix,3.95,44023,Courses
CB Franprix,1.6,44022,Courses
CB Picard,18.11,44022,Courses
CB Franprix,1.65,44020,Courses
CB Picard,10.75,44020,Courses
CB Franprix,4.1,44019,Courses
CB Picard,2.65,44019,Courses
CB Franprix,1.45,44019,Courses
CB Twisto,1.7,44017,Transports
CB Paul,4.5,44014,Shopping
CB Phe Central,9.5,44013,Resto_FastFood
CB Ratp,1.95,44013,Transports
CB Ouibus,24.99,44013,Transports
CB Celio,30,44012,Shopping
CB Ratp,10.05,44010,Transports
CB Transpole BR Met,1.85,44010,Transports
CB Ouigo,10,44008,Transports
Cotisation Mensuelle,2,44007,Charges Mensuelles
Primark Seris,57,44006,Shopping
CB Ennasr Market,5.11,44002,Resto_FastFood
CB Boucherie,12.71,44002,Courses
CB Transpole BR Met,1.85,44002,Transports
CB Carrefour,8.96,44001,Courses
CB Ratp,10.05,44001,Transports
CB Picard,1.49,44000,Courses
CB Yep Liban,22.55,44000,Resto_FastFood
CB Ouigo,10,44000,Transports
CB Prélèvement Free,9.99,43999,Télécoms
CB Franprix,31.64,43998,Courses
CB KumKai,17,43997,Resto_FastFood
CB Picard,5.88,43995,Courses
CB Franprix,2.9,43995,Courses
CB Picard,10,43995,Courses
CB Picard,1.49,43995,Courses
CB Uber Eats,16.49,43994,Resto_FastFood
CB Picard,14.13,43987,Courses
CB Ratp,4.15,43986,Transports
CB Ratp,4.15,43986,Transports
CB Picard,22.6,43985,Courses
CB Franprix,4.8,43985,Courses
CB Franprix,15.8,43984,Courses
CB Uber Eats,13.97,43983,Resto_FastFood
CB Carrefour,15,43982,Courses
CB Retrait,40,43982,Retrait
CB Uber Eats,34.29,43981,Resto_FastFood
CB Franprix,6.75,43980,Courses
CB Picard,5.99,43980,Courses
CB Picard,20,43980,Courses
Total option system,7.4,43980,Télécoms
CB Picard,5.98,43978,Courses
CB Franprix,2.8,43978,Courses
CB Picard,11.02,43966,Courses
CB Mediterranée,2.95,43966,Courses
CB Picard,4.05,43965,Courses
CB Picard,6.56,43964,Courses
CB Franprix,2.89,43964,Courses
CB Picard,6.93,43963,Courses
CB Mediterranée,29.4,43961,Courses
CB Picard,7.92,43959,Courses
CB Franprix,2,43959,Courses
CB Picard,4.77,43958,Courses
CB Franprix,18.3,43958,Courses
CB Picard,7.61,43957,Courses
CB Picard,7,43957,Courses
CB Mediterranée,8.92,43957,Courses
CB Picard,6.88,43956,Courses
CB Picard,7.6,43956,Courses
CB Franprix,2.55,43956,Courses
CB Picard,12.7,43955,Courses
CB Franprix,6,43955,Courses
CB Western Union,63.8,43955,Exceptions_&_Services
CB Picard,8.86,43954,Courses
Total option system,6.38,43951,Télécoms
CB Franprix,8.99,43950,Courses
CB Picard,15.09,43950,Courses
CB Uber Eats,18.28,43950,Transports
CB Picard,7.56,43949,Courses
CB Uber Eats,17.55,43949,Transports
Cotisation Mensuelle,2,43948,Charges Mensuelles
CB Franprix,5.78,43948,Courses
CB Uber Eats,19,43936,Resto_FastFood
CB Picard,6.56,43935,Courses
CB Franprix,3.06,43935,Courses
CB Boucherie Nanterre,13.47,43935,Courses
CB Picard,4.04,43935,Courses
CB Franprix,7.85,43933,Courses
CB Franprix,37.43,43931,Courses
CB Retrait,20,43929,Retrait
CB Boucherie Nanterre,12.79,43928,Courses
CB Franprix,21.82,43927,Courses
CB Picard,8.05,43925,Courses
CB Ratp,1.95,43896,Transports
CB Ratp,22.8,43896,Transports
CB Transpole BR Met,12,43896,Transports
CB Jacadi,29,43896,Shopping
CB Boutique Oriental,9.6,43895,Courses
CB Boulangerie,4.6,43894,Courses
CB Carrefour,4.55,43894,Courses
CB Franprix,2.98,43894,Courses
